"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: B","Param: N","Param: k"
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,2.392491,0.081758,"ms/op",4194304,100000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,2.767653,0.266571,"ms/op",4194304,100000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,6.252612,3.348691,"ms/op",4194304,100000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,10.451720,6.423273,"ms/op",4194304,100000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,2.160804,9.030335,"ms/op",1048576,10000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,1.592917,0.278881,"ms/op",1048576,10000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,11.839721,3.978168,"ms/op",1048576,10000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,24.201497,4.034207,"ms/op",1048576,10000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,2.768307,0.560120,"ms/op",1048576,100000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,3.695791,0.397130,"ms/op",1048576,100000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,13.980493,3.444988,"ms/op",1048576,100000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,25.144948,3.706586,"ms/op",1048576,100000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,2.720148,0.400371,"ms/op",4194304,10000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,5.478869,0.554024,"ms/op",4194304,10000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,40.729760,5.693550,"ms/op",4194304,10000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,81.331514,5.251013,"ms/op",4194304,10000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,4.552678,0.918683,"ms/op",4194304,100000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,7.187227,0.565513,"ms/op",4194304,100000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,41.407391,4.726646,"ms/op",4194304,100000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,81.483391,27.293046,"ms/op",4194304,100000000,30
